Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
HSIAO_HOUSEKEEPING_GENES,50,50/590,404/17483,3.691821853250182e-12,110557/17750/16832/15001/15018/15331/22032/14199/19240/54132/192176/20104/12010/17938/12847/56455/26936/75617/107686/268373/17886/78294/20848/12334/26961/22334/20091/76846/19172/11911/13001/19921/27176/15519/19951/231889/66085/228033/15040/67248/22166/16785/216440/57294/20084/19989/67530/20044/20068/26451,H2-Q6/Mt2/Ldhb/H2-Oa/H2-Q7/Hmgn2/Traf4/Fhl1/Tmsb10/Pdlim1/Flna/Rps6/B2m/Naca/Copa/Dynll1/Mprip/Rps25/Snrpd2/Ppia/Myh9/Rps27a/Stat3/Capn2/Rpl8/Vdac2/Rps3a1/Rps9/Psmb4/Atf4/Csnk2b/Rpl19/Rpl7a/Hsp90aa1/Rpl32/Bud31/Eif3f/Atp5g3/H2-T23/Rpl39/Txn1/Rpsa/Os9/Rps27/Rps18/Rpl7/Uqcrb/Rps14/Rps17/Rpl27a,ENSMUSG00000073409/ENSMUSG00000031762/ENSMUSG00000030246/ENSMUSG00000024334/ENSMUSG00000060550/ENSMUSG00000003038/ENSMUSG00000017386/ENSMUSG00000023092/ENSMUSG00000079523/ENSMUSG00000055044/ENSMUSG00000031328/ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000061315/ENSMUSG00000026553/ENSMUSG00000009013/ENSMUSG00000005417/ENSMUSG00000009927/ENSMUSG00000040824/ENSMUSG00000071866/ENSMUSG00000022443/ENSMUSG00000020460/ENSMUSG00000004040/ENSMUSG00000026509/ENSMUSG00000003970/ENSMUSG00000021771/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000005779/ENSMUSG00000042406/ENSMUSG00000024387/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000057841/ENSMUSG00000038722/ENSMUSG00000031029/ENSMUSG00000018770/ENSMUSG00000067212/ENSMUSG00000079641/ENSMUSG00000028367/ENSMUSG00000032518/ENSMUSG00000040462/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000021520/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C2,CGP
PECE_MAMMARY_STEM_CELL_UP,26,26/590,136/17483,6.505371136925699e-10,66082/17750/22151/17748/11816/19240/17938/56455/75617/21371/16190/268373/67333/26961/27176/66847/66177/66431/67248/22166/16785/20084/67530/20044/26451/208501,Abhd6/Mt2/Tubb2a/Mt1/Apoe/Tmsb10/Naca/Dynll1/Rps25/Tbca/Il4ra/Ppia/Stk35/Rpl8/Rpl7a/Hint3/Ubl5/Oxld1/Rpl39/Txn1/Rpsa/Rps18/Uqcrb/Rps14/Rpl27a/Ndufaf8,ENSMUSG00000025277/ENSMUSG00000031762/ENSMUSG00000058672/ENSMUSG00000031765/ENSMUSG00000002985/ENSMUSG00000079523/ENSMUSG00000061315/ENSMUSG00000009013/ENSMUSG00000009927/ENSMUSG00000042043/ENSMUSG00000030748/ENSMUSG00000071866/ENSMUSG00000037885/ENSMUSG00000003970/ENSMUSG00000062647/ENSMUSG00000019791/ENSMUSG00000084786/ENSMUSG00000039670/ENSMUSG00000079641/ENSMUSG00000028367/ENSMUSG00000032518/ENSMUSG00000008668/ENSMUSG00000021520/ENSMUSG00000024608/ENSMUSG00000046364/ENSMUSG00000078572,C2,CGP
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP,38,38/590,406/17483,1.120744370095887e-5,100038909/75345/18733/76267/12273/12654/17750/12774/319939/100041146/52855/13823/98496/19200/17179/18751/27226/13038/18186/71279/17748/18726/20846/74748/11816/56434/70789/12527/79362/12874/13135/26936/11428/218454/21888/18129/15040/13039,Gm14548/Slamf7/Pirb/Fads1/C5ar1/Chil1/Mt2/Ccr5/Tns3/Gm15448/Lair1/Epb41l3/Pid1/Pstpip1/Matk/Prkcb/Pla2g7/Ctsk/Nrp1/Slc29a3/Mt1/Lilra6/Stat1/Slamf8/Apoe/Tspan3/Kynu/Cd9/Bhlhe41/Cpd/Dad1/Mprip/Aco1/Lhfpl2/Tle4/Notch2/H2-T23/Ctsl,ENSMUSG00000074417/ENSMUSG00000038179/ENSMUSG00000058818/ENSMUSG00000010663/ENSMUSG00000049130/ENSMUSG00000064246/ENSMUSG00000031762/ENSMUSG00000079227/ENSMUSG00000020422/ENSMUSG00000074419/ENSMUSG00000055541/ENSMUSG00000024044/ENSMUSG00000045658/ENSMUSG00000032322/ENSMUSG00000004933/ENSMUSG00000052889/ENSMUSG00000023913/ENSMUSG00000028111/ENSMUSG00000025810/ENSMUSG00000020100/ENSMUSG00000031765/ENSMUSG00000030427/ENSMUSG00000026104/ENSMUSG00000053318/ENSMUSG00000002985/ENSMUSG00000032324/ENSMUSG00000026866/ENSMUSG00000030342/ENSMUSG00000030256/ENSMUSG00000020841/ENSMUSG00000022174/ENSMUSG00000005417/ENSMUSG00000028405/ENSMUSG00000045312/ENSMUSG00000024642/ENSMUSG00000027878/ENSMUSG00000067212/ENSMUSG00000021477,C2,CGP
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,26,26/590,219/17483,1.551337674930978e-5,18733/12273/16409/12654/12774/12608/28240/21810/100041146/18173/52855/16177/18186/97064/21825/192187/74748/70789/14276/17158/212898/218454/11717/16190/17886/20947,Pirb/C5ar1/Itgam/Chil1/Ccr5/Cebpb/Trpm2/Tgfbi/Gm15448/Slc11a1/Lair1/Il1r1/Nrp1/Wwtr1/Thbs1/Stab1/Slamf8/Kynu/Folr2/Man2a1/Dse/Lhfpl2/Ampd3/Il4ra/Myh9/Swap70,ENSMUSG00000058818/ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000064246/ENSMUSG00000079227/ENSMUSG00000056501/ENSMUSG00000009292/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000026072/ENSMUSG00000025810/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000042286/ENSMUSG00000053318/ENSMUSG00000026866/ENSMUSG00000032725/ENSMUSG00000024085/ENSMUSG00000039497/ENSMUSG00000045312/ENSMUSG00000005686/ENSMUSG00000030748/ENSMUSG00000022443/ENSMUSG00000031015,C2,CGP
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN,28,28/590,273/17483,7.550209062187648e-5,76267/210992/16004/14733/16419/12268/23943/12527/11305/140570/192176/20591/230673/108903/20020/56453/227648/66865/64652/18975/17909/109934/208795/54721/54563/16548/71918/69719,Fads1/Lpcat1/Igf2r/Gpc1/Itgb5/C4b/Esyt1/Cd9/Abca2/Plxnb2/Flna/Kdm5c/Ipo13/Tbcd/Polr2a/Mbtps1/Sec16a/Pmpca/Nisch/Polg/Myo10/Abr/Tmem63a/Tyk2/Nup210/Khk/Zcchc24/Cad,ENSMUSG00000010663/ENSMUSG00000021608/ENSMUSG00000023830/ENSMUSG00000034220/ENSMUSG00000022817/ENSMUSG00000073418/ENSMUSG00000025366/ENSMUSG00000030342/ENSMUSG00000026944/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000025332/ENSMUSG00000033365/ENSMUSG00000039230/ENSMUSG00000005198/ENSMUSG00000031835/ENSMUSG00000026924/ENSMUSG00000026926/ENSMUSG00000021910/ENSMUSG00000039176/ENSMUSG00000022272/ENSMUSG00000017631/ENSMUSG00000026519/ENSMUSG00000032175/ENSMUSG00000030091/ENSMUSG00000029162/ENSMUSG00000055538/ENSMUSG00000013629,C2,CGP
JOHNSTONE_PARVB_TARGETS_3_UP,37,37/590,430/17483,7.550209062187648e-5,102657/110557/76267/71720/16004/12608/21810/235504/15018/13819/70564/17913/21825/104718/277463/12527/192176/14268/100041194/12874/110253/227648/19267/17886/225845/66847/18129/75687/20926/16449/14470/15040/13039/215690/434341/28006/14248,Cd276/H2-Q6/Fads1/Osbpl3/Igf2r/Cebpb/Tgfbi/Slc17a5/H2-Q7/Epas1/Prxl2a/Myo1c/Thbs1/Ttc7b/Gpr107/Cd9/Flna/Fn1/Ahnak2/Cpd/Triobp/Sec16a/Ptpre/Myh9/Plaat3/Hint3/Notch2/Ripor1/Supt6/Jag1/Rabac1/H2-T23/Ctsl/Nav1/Nlrc5/Washc2/Flii,ENSMUSG00000035914/ENSMUSG00000073409/ENSMUSG00000010663/ENSMUSG00000029822/ENSMUSG00000023830/ENSMUSG00000056501/ENSMUSG00000035493/ENSMUSG00000049624/ENSMUSG00000060550/ENSMUSG00000024140/ENSMUSG00000021792/ENSMUSG00000017774/ENSMUSG00000040152/ENSMUSG00000033530/ENSMUSG00000000194/ENSMUSG00000030342/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000072812/ENSMUSG00000020841/ENSMUSG00000033088/ENSMUSG00000026924/ENSMUSG00000041836/ENSMUSG00000022443/ENSMUSG00000060675/ENSMUSG00000019791/ENSMUSG00000027878/ENSMUSG00000038604/ENSMUSG00000002052/ENSMUSG00000027276/ENSMUSG00000003380/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000009418/ENSMUSG00000074151/ENSMUSG00000024104/ENSMUSG00000002812,C2,CGP
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN,23,23/590,199/17483,9.185579419893122e-5,12273/16409/12654/140792/20568/16004/21810/18173/98496/17387/17132/27226/68659/11492/13819/18186/17381/74748/20308/12484/14276/12527/23802,C5ar1/Itgam/Chil1/Colec12/Slpi/Igf2r/Tgfbi/Slc11a1/Pid1/Mmp14/Maf/Pla2g7/Gask1b/Adam19/Epas1/Nrp1/Mmp12/Slamf8/Ccl9/Cd24a/Folr2/Cd9/Amfr,ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000064246/ENSMUSG00000036103/ENSMUSG00000017002/ENSMUSG00000023830/ENSMUSG00000035493/ENSMUSG00000026177/ENSMUSG00000045658/ENSMUSG00000000957/ENSMUSG00000055435/ENSMUSG00000023913/ENSMUSG00000027955/ENSMUSG00000011256/ENSMUSG00000024140/ENSMUSG00000025810/ENSMUSG00000049723/ENSMUSG00000053318/ENSMUSG00000019122/ENSMUSG00000047139/ENSMUSG00000032725/ENSMUSG00000030342/ENSMUSG00000031751,C2,CGP
RUTELLA_RESPONSE_TO_HGF_UP,35,35/590,413/17483,1.7427020969940907e-4,75345/60504/76267/12654/17750/12774/319939/52855/13823/19200/17179/16177/27226/13038/239027/18186/71279/17748/17381/20846/74748/11816/56434/70789/12527/79362/17979/12874/13135/11428/218454/14583/16449/13039/22166,Slamf7/Il21r/Fads1/Chil1/Mt2/Ccr5/Tns3/Lair1/Epb41l3/Pstpip1/Matk/Il1r1/Pla2g7/Ctsk/Arhgap22/Nrp1/Slc29a3/Mt1/Mmp12/Stat1/Slamf8/Apoe/Tspan3/Kynu/Cd9/Bhlhe41/Ncoa3/Cpd/Dad1/Aco1/Lhfpl2/Gfpt1/Jag1/Ctsl/Txn1,ENSMUSG00000038179/ENSMUSG00000030745/ENSMUSG00000010663/ENSMUSG00000064246/ENSMUSG00000031762/ENSMUSG00000079227/ENSMUSG00000020422/ENSMUSG00000055541/ENSMUSG00000024044/ENSMUSG00000032322/ENSMUSG00000004933/ENSMUSG00000026072/ENSMUSG00000023913/ENSMUSG00000028111/ENSMUSG00000063506/ENSMUSG00000025810/ENSMUSG00000020100/ENSMUSG00000031765/ENSMUSG00000049723/ENSMUSG00000026104/ENSMUSG00000053318/ENSMUSG00000002985/ENSMUSG00000032324/ENSMUSG00000026866/ENSMUSG00000030342/ENSMUSG00000030256/ENSMUSG00000027678/ENSMUSG00000020841/ENSMUSG00000022174/ENSMUSG00000028405/ENSMUSG00000045312/ENSMUSG00000029992/ENSMUSG00000027276/ENSMUSG00000021477/ENSMUSG00000028367,C2,CGP
GAURNIER_PSMD4_TARGETS,13,13/590,74/17483,2.324141522590805e-4,60504/110557/12273/12774/15001/20304/66102/15018/15000/20308/15015/12010/15040,Il21r/H2-Q6/C5ar1/Ccr5/H2-Oa/Ccl5/Cxcl16/H2-Q7/H2-DMb2/Ccl9/H2-Q4/B2m/H2-T23,ENSMUSG00000030745/ENSMUSG00000073409/ENSMUSG00000049130/ENSMUSG00000079227/ENSMUSG00000024334/ENSMUSG00000035042/ENSMUSG00000018920/ENSMUSG00000060550/ENSMUSG00000037548/ENSMUSG00000019122/ENSMUSG00000035929/ENSMUSG00000060802/ENSMUSG00000067212,C2,CGP
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN,19,19/590,152/17483,2.324141522590805e-4,12273/12654/20568/21810/98496/50934/17132/16177/27226/18186/17381/192187/74748/20308/11816/12484/14276/12527/218454,C5ar1/Chil1/Slpi/Tgfbi/Pid1/Slc7a8/Maf/Il1r1/Pla2g7/Nrp1/Mmp12/Stab1/Slamf8/Ccl9/Apoe/Cd24a/Folr2/Cd9/Lhfpl2,ENSMUSG00000049130/ENSMUSG00000064246/ENSMUSG00000017002/ENSMUSG00000035493/ENSMUSG00000045658/ENSMUSG00000022180/ENSMUSG00000055435/ENSMUSG00000026072/ENSMUSG00000023913/ENSMUSG00000025810/ENSMUSG00000049723/ENSMUSG00000042286/ENSMUSG00000053318/ENSMUSG00000019122/ENSMUSG00000002985/ENSMUSG00000047139/ENSMUSG00000032725/ENSMUSG00000030342/ENSMUSG00000045312,C2,CGP
