Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GO_CELL_SUBSTRATE_JUNCTION,45,45/560,406/16881,5.659502776029468e-9,121021/72333/16004/319939/17387/29806/16419/239027/18186/11658/14199/67299/20430/54132/12527/192176/236920/21894/12010/110253/78906/20005/26936/223650/19087/268373/17886/12334/26961/20091/76846/12549/19921/27176/54519/16452/19303/20084/19989/170822/20044/14248/241226/20068/20535,Cspg4/Palld/Igf2r/Tns3/Mmp14/Limd1/Itgb5/Arhgap22/Nrp1/Alcam/Fhl1/Dock7/Cyfip1/Pdlim1/Cd9/Flna/Stard8/Tln1/B2m/Triobp/Misp/Rpl9/Mprip/Eppk1/Prkar2a/Ppia/Myh9/Capn2/Rpl8/Rps3a1/Rps9/Arhgap31/Rpl19/Rpl7a/Apbb1ip/Jak2/Pxn/Rps18/Rpl7/Usp33/Rps14/Flii/Itga8/Rps17/Slc4a2,ENSMUSG00000032911/ENSMUSG00000058056/ENSMUSG00000023830/ENSMUSG00000020422/ENSMUSG00000000957/ENSMUSG00000025239/ENSMUSG00000022817/ENSMUSG00000063506/ENSMUSG00000025810/ENSMUSG00000022636/ENSMUSG00000023092/ENSMUSG00000028556/ENSMUSG00000030447/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000031328/ENSMUSG00000031216/ENSMUSG00000028465/ENSMUSG00000060802/ENSMUSG00000033088/ENSMUSG00000035852/ENSMUSG00000047215/ENSMUSG00000005417/ENSMUSG00000115388/ENSMUSG00000032601/ENSMUSG00000071866/ENSMUSG00000022443/ENSMUSG00000026509/ENSMUSG00000003970/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000022799/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000026786/ENSMUSG00000024789/ENSMUSG00000029528/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000025437/ENSMUSG00000024608/ENSMUSG00000002812/ENSMUSG00000026768/ENSMUSG00000061787/ENSMUSG00000028962,C5
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,24,24/560,134/16881,3.063836072683886e-8,20104/20005/227648/75617/78294/26961/110954/20091/76846/19921/27176/19951/338366/68137/67248/16785/216440/57294/20084/19989/19941/20044/20068/26451,Rps6/Rpl9/Sec16a/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Mia3/Kdelr1/Rpl39/Rpsa/Os9/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000026924/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000056050/ENSMUSG00000002778/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000040462/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_CYTOSOLIC_RIBOSOME,21,21/560,105/16881,4.455398534396461e-8,66211/20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67248/16785/57294/20084/19989/19941/20044/20068/26451,Rpl3l/Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000002500/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,20,20/560,98/16881,6.743139163849312e-8,20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67248/16785/57294/20084/19989/19941/20044/20068/26451,Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,21,21/560,118/16881,2.668495992403344e-7,20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67248/16785/57294/20084/75901/19989/19941/20044/20068/26451,Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Rpl39/Rpsa/Rps27/Rps18/Dcp1a/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000021962/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,20,20/560,110/16881,3.983762887932219e-7,20104/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/67248/16785/57294/20084/19989/19941/20044/20068/26451,Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_VIRAL_GENE_EXPRESSION,26,26/560,188/16881,4.7357437855594046e-7,20304/227699/20104/20020/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/66085/54563/67248/16785/57294/20084/19989/19941/20044/69833/20068/26451,Ccl5/Nup188/Rps6/Polr2a/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Eif3f/Nup210/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Polr2f/Rps17/Rpl27a,ENSMUSG00000035042/ENSMUSG00000052533/ENSMUSG00000028495/ENSMUSG00000005198/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000031029/ENSMUSG00000030091/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000033020/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_TRANSLATIONAL_INITIATION,25,25/560,185/16881,1.4165454850100569e-6,20304/20104/108954/20005/75617/78294/26961/110954/20091/76846/11911/19921/27176/19951/66085/54709/67248/16785/57294/20084/19989/19941/20044/20068/26451,Ccl5/Rps6/Ppp1r15b/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Atf4/Rpl19/Rpl7a/Rpl32/Eif3f/Eif3i/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000035042/ENSMUSG00000028495/ENSMUSG00000046062/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000042406/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000031029/ENSMUSG00000028798/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_CYTOSOLIC_PART,28,28/560,229/16881,1.4165454850100569e-6,15925/195046/18751/66211/20104/26409/18797/20005/75617/78294/26961/110954/20091/76846/19921/27176/19951/19766/67248/16785/57294/20084/19989/19941/15194/20044/20068/26451,Ide/Nlrp1a/Prkcb/Rpl3l/Rps6/Map3k7/Plcb3/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Ripk1/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Htt/Rps14/Rps17/Rpl27a,ENSMUSG00000056999/ENSMUSG00000069830/ENSMUSG00000052889/ENSMUSG00000002500/ENSMUSG00000028495/ENSMUSG00000028284/ENSMUSG00000024960/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000021408/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000029104/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,22,22/560,152/16881,2.9017590139332564e-6,121022/66211/20104/20005/78294/26961/110954/20091/76846/19921/27176/19951/67681/67248/16785/57294/20084/19989/19941/20044/20068/26451,Mrps6/Rpl3l/Rps6/Rpl9/Rps27a/Rpl8/Rpl10/Rps3a1/Rps9/Rpl19/Rpl7a/Rpl32/Mrpl18/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Rps14/Rps17/Rpl27a,ENSMUSG00000039680/ENSMUSG00000002500/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000057841/ENSMUSG00000057388/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C5
