Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN,29,29/590,204/17849,1.6748370177143366e-7,100038909/18733/16409/12654/332579/100041146/18173/13823/50934/27226/15018/239027/18186/71279/18726/20430/68732/12527/79362/140570/212898/27361/19267/218454/67784/68606/15040/13039/16561,Gm14548/Pirb/Itgam/Chil1/Card9/Gm15448/Slc11a1/Epb41l3/Slc7a8/Pla2g7/H2-Q7/Arhgap22/Nrp1/Slc29a3/Lilra6/Cyfip1/Carmil1/Cd9/Bhlhe41/Plxnb2/Dse/Msrb1/Ptpre/Lhfpl2/Plxnd1/Ppm1f/H2-T23/Ctsl/Kif1b,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000030786/ENSMUSG00000064246/ENSMUSG00000026928/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000024044/ENSMUSG00000022180/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000063506/ENSMUSG00000025810/ENSMUSG00000020100/ENSMUSG00000030427/ENSMUSG00000030447/ENSMUSG00000021338/ENSMUSG00000030342/ENSMUSG00000030256/ENSMUSG00000036606/ENSMUSG00000039497/ENSMUSG00000075705/ENSMUSG00000041836/ENSMUSG00000045312/ENSMUSG00000030123/ENSMUSG00000026181/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000063077,C7
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,28,28/590,201/17849,2.977846479871016e-7,16832/22032/20104/12010/20005/75617/21371/268373/110954/20091/76846/13001/19921/27176/15519/228033/13039/54709/67248/22166/16785/57294/20084/19989/19941/67530/20044/26451,Ldhb/Traf4/Rps6/B2m/Rpl9/Rps25/Tbca/Ppia/Rpl10/Rps3a1/Rps9/Csnk2b/Rpl19/Rpl7a/Hsp90aa1/Atp5g3/Ctsl/Eif3i/Rpl39/Txn1/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Uqcrb/Rps14/Rpl27a,ENSMUSG00000030246/ENSMUSG00000017386/ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000042043/ENSMUSG00000071866/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000024387/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000018770/ENSMUSG00000021477/ENSMUSG00000028798/ENSMUSG00000079641/ENSMUSG00000028367/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000021520/ENSMUSG00000024608/ENSMUSG00000046364,C7
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN,27,27/590,203/17849,1.2259244518727737e-6,100038909/18733/12978/12273/16409/332579/54610/12608/21810/100041146/18173/13823/30805/18636/24115/217721/18726/192187/20430/16790/140570/27361/12874/19267/72145/67784/71918,Gm14548/Pirb/Csf1r/C5ar1/Itgam/Card9/Tbc1d8/Cebpb/Tgfbi/Gm15448/Slc11a1/Epb41l3/Slc22a4/Cfp/Best1/Flvcr2/Lilra6/Stab1/Cyfip1/Anpep/Plxnb2/Msrb1/Cpd/Ptpre/Wdfy3/Plxnd1/Zcchc24,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000026928/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000024044/ENSMUSG00000020334/ENSMUSG00000001128/ENSMUSG00000037418/ENSMUSG00000034258/ENSMUSG00000030427/ENSMUSG00000042286/ENSMUSG00000030447/ENSMUSG00000039062/ENSMUSG00000036606/ENSMUSG00000075705/ENSMUSG00000020841/ENSMUSG00000041836/ENSMUSG00000043940/ENSMUSG00000030123/ENSMUSG00000055538,C7
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,25,25/590,198/17849,1.1542471091694292e-5,66102/110310/54132/20104/20005/75617/21371/268373/110954/20091/76846/19172/19921/27176/54709/54563/67248/16785/57294/20084/19989/19941/67530/20044/26451,Cxcl16/Krt7/Pdlim1/Rps6/Rpl9/Rps25/Tbca/Ppia/Rpl10/Rps3a1/Rps9/Psmb4/Rpl19/Rpl7a/Eif3i/Nup210/Rpl39/Rpsa/Rps27/Rps18/Rpl7/Rpl26/Uqcrb/Rps14/Rpl27a,ENSMUSG00000018920/ENSMUSG00000023039/ENSMUSG00000055044/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000042043/ENSMUSG00000071866/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000005779/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000028798/ENSMUSG00000030091/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000021520/ENSMUSG00000024608/ENSMUSG00000046364,C7
GSE29618_MONOCYTE_VS_MDC_UP,25,25/590,205/17849,1.875222717725429e-5,100038909/18733/110557/12273/16409/20354/80885/16004/54610/12608/11303/100041146/18173/30805/27226/15018/68659/24115/18726/12874/16168/18129/15040/13039/100038947,Gm14548/Pirb/H2-Q6/C5ar1/Itgam/Sema4d/Hcar2/Igf2r/Tbc1d8/Cebpb/Abca1/Gm15448/Slc11a1/Slc22a4/Pla2g7/H2-Q7/Gask1b/Best1/Lilra6/Cpd/Il15/Notch2/H2-T23/Ctsl/Sirpb1c,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000073409/ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000021451/ENSMUSG00000045502/ENSMUSG00000023830/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000015243/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000020334/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000027955/ENSMUSG00000037418/ENSMUSG00000030427/ENSMUSG00000020841/ENSMUSG00000031712/ENSMUSG00000027878/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000074677,C7
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_UP,23,23/590,187/17849,4.927781227347797e-5,12978/217944/71720/20568/21810/20304/69710/18636/18186/27053/104718/20846/71085/79362/140570/277360/21894/246256/18129/19303/54563/22166/434341,Csf1r/Rapgef5/Osbpl3/Slpi/Tgfbi/Ccl5/Arap1/Cfp/Nrp1/Asns/Ttc7b/Stat1/Arhgap19/Bhlhe41/Plxnb2/Prex1/Tln1/Fcgr4/Notch2/Pxn/Nup210/Txn1/Nlrc5,ENSMUSG00000024621/ENSMUSG00000041992/ENSMUSG00000029822/ENSMUSG00000017002/ENSMUSG00000035493/ENSMUSG00000035042/ENSMUSG00000032812/ENSMUSG00000001128/ENSMUSG00000025810/ENSMUSG00000029752/ENSMUSG00000033530/ENSMUSG00000026104/ENSMUSG00000025154/ENSMUSG00000030256/ENSMUSG00000036606/ENSMUSG00000039621/ENSMUSG00000028465/ENSMUSG00000059089/ENSMUSG00000027878/ENSMUSG00000029528/ENSMUSG00000030091/ENSMUSG00000028367/ENSMUSG00000074151,C7
GSE3039_CD4_TCELL_VS_B1_BCELL_DN,24,24/590,205/17849,5.659446861688641e-5,217944/17750/20568/11554/140493/12608/18173/15018/13038/17748/16162/12527/12010/27361/218454/16190/268373/193796/246221/63955/15040/13039/100038947/17069,Rapgef5/Mt2/Slpi/Adrb1/Kcnn3/Cebpb/Slc11a1/H2-Q7/Ctsk/Mt1/Il12rb2/Cd9/B2m/Msrb1/Lhfpl2/Il4ra/Ppia/Kdm4b/Mpst/Cables1/H2-T23/Ctsl/Sirpb1c/Ly6e,ENSMUSG00000041992/ENSMUSG00000031762/ENSMUSG00000017002/ENSMUSG00000035283/ENSMUSG00000000794/ENSMUSG00000056501/ENSMUSG00000026177/ENSMUSG00000060550/ENSMUSG00000028111/ENSMUSG00000031765/ENSMUSG00000018341/ENSMUSG00000030342/ENSMUSG00000060802/ENSMUSG00000075705/ENSMUSG00000045312/ENSMUSG00000030748/ENSMUSG00000071866/ENSMUSG00000024201/ENSMUSG00000071711/ENSMUSG00000040957/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000074677/ENSMUSG00000022587,C7
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP,24,24/590,209/17849,7.15553987123096e-5,18733/110557/12273/16409/80885/16004/232801/12608/100041146/18173/52855/27226/15018/68659/24115/192187/14276/27361/218454/74302/67784/15040/13039/100038947,Pirb/H2-Q6/C5ar1/Itgam/Hcar2/Igf2r/Lilra5/Cebpb/Gm15448/Slc11a1/Lair1/Pla2g7/H2-Q7/Gask1b/Best1/Stab1/Folr2/Msrb1/Lhfpl2/Mtmr3/Plxnd1/H2-T23/Ctsl/Sirpb1c,ENSMUSG00000058818/ENSMUSG00000073409/ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000045502/ENSMUSG00000023830/ENSMUSG00000070873/ENSMUSG00000056501/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000027955/ENSMUSG00000037418/ENSMUSG00000042286/ENSMUSG00000032725/ENSMUSG00000075705/ENSMUSG00000045312/ENSMUSG00000034354/ENSMUSG00000030123/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000074677,C7
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_DN,23,23/590,197/17849,7.752810263424871e-5,210992/11501/18173/52855/215632/19200/105522/16419/239027/101706/11658/12925/140570/18797/20020/18518/218454/11717/64652/17909/109934/78658/71918,Lpcat1/Adam8/Slc11a1/Lair1/Psd4/Pstpip1/Ankrd28/Itgb5/Arhgap22/Numa1/Alcam/Crip1/Plxnb2/Plcb3/Polr2a/Igbp1/Lhfpl2/Ampd3/Nisch/Myo10/Abr/Ncapd3/Zcchc24,ENSMUSG00000021608/ENSMUSG00000025473/ENSMUSG00000026177/ENSMUSG00000055541/ENSMUSG00000026979/ENSMUSG00000032322/ENSMUSG00000014496/ENSMUSG00000022817/ENSMUSG00000063506/ENSMUSG00000066306/ENSMUSG00000022636/ENSMUSG00000006360/ENSMUSG00000036606/ENSMUSG00000024960/ENSMUSG00000005198/ENSMUSG00000031221/ENSMUSG00000045312/ENSMUSG00000005686/ENSMUSG00000021910/ENSMUSG00000022272/ENSMUSG00000017631/ENSMUSG00000035024/ENSMUSG00000055538,C7
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN,23,23/590,197/17849,7.752810263424871e-5,195046/15018/218490/17938/74302/12334/26961/110954/76846/71472/19951/66085/15040/19303/67248/70673/20084/20623/19989/19941/71918/20044/26451,Nlrp1a/H2-Q7/Btf3/Naca/Mtmr3/Capn2/Rpl8/Rpl10/Rps9/Usp19/Rpl32/Eif3f/H2-T23/Pxn/Rpl39/Prdm16/Rps18/Snrk/Rpl7/Rpl26/Zcchc24/Rps14/Rpl27a,ENSMUSG00000069830/ENSMUSG00000060550/ENSMUSG00000021660/ENSMUSG00000061315/ENSMUSG00000034354/ENSMUSG00000026509/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000006333/ENSMUSG00000006676/ENSMUSG00000057841/ENSMUSG00000031029/ENSMUSG00000067212/ENSMUSG00000029528/ENSMUSG00000079641/ENSMUSG00000039410/ENSMUSG00000008668/ENSMUSG00000038145/ENSMUSG00000043716/ENSMUSG00000060938/ENSMUSG00000055538/ENSMUSG00000024608/ENSMUSG00000046364,C7
