Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
HALLMARK_ALLOGRAFT_REJECTION,24,24/199,204/4395,5.686387316332097e-4,12774/12481/15001/20304/18751/15018/14744/18636/192187/20846/15000/66211/192176/12010/26409/20005/16168/16190/18126/20091/76846/16452/15040/67248,Ccr5/Cd2/H2-Oa/Ccl5/Prkcb/H2-Q7/Gpr65/Cfp/Stab1/Stat1/H2-DMb2/Rpl3l/Flna/B2m/Map3k7/Rpl9/Il15/Il4ra/Nos2/Rps3a1/Rps9/Jak2/H2-T23/Rpl39,ENSMUSG00000079227/ENSMUSG00000027863/ENSMUSG00000024334/ENSMUSG00000035042/ENSMUSG00000052889/ENSMUSG00000060550/ENSMUSG00000021886/ENSMUSG00000001128/ENSMUSG00000042286/ENSMUSG00000026104/ENSMUSG00000037548/ENSMUSG00000002500/ENSMUSG00000031328/ENSMUSG00000060802/ENSMUSG00000028284/ENSMUSG00000047215/ENSMUSG00000031712/ENSMUSG00000030748/ENSMUSG00000020826/ENSMUSG00000028081/ENSMUSG00000006333/ENSMUSG00000024789/ENSMUSG00000067212/ENSMUSG00000079641,H
HALLMARK_MITOTIC_SPINDLE,18,18/199,199/4395,0.08609388825220957,72333/217944/16570/77579/101706/11789/233276/192176/277360/108903/17886/22294/18129/16897/109934/19303/20740/16561,Palld/Rapgef5/Kif3c/Myh10/Numa1/Apc/Tubgcp5/Flna/Prex1/Tbcd/Myh9/Uxt/Notch2/Llgl1/Abr/Pxn/Sptan1/Kif1b,ENSMUSG00000058056/ENSMUSG00000041992/ENSMUSG00000020668/ENSMUSG00000020900/ENSMUSG00000066306/ENSMUSG00000005871/ENSMUSG00000033790/ENSMUSG00000031328/ENSMUSG00000039621/ENSMUSG00000039230/ENSMUSG00000022443/ENSMUSG00000001134/ENSMUSG00000027878/ENSMUSG00000020536/ENSMUSG00000017631/ENSMUSG00000029528/ENSMUSG00000057738/ENSMUSG00000063077,H
HALLMARK_INTERFERON_GAMMA_RESPONSE,18,18/199,208/4395,0.09177851744794614,75345/110557/17750/20304/15018/20846/12010/17979/16168/16190/20848/69550/16452/15040/56417/19766/434341/17069,Slamf7/H2-Q6/Mt2/Ccl5/H2-Q7/Stat1/B2m/Ncoa3/Il15/Il4ra/Stat3/Bst2/Jak2/H2-T23/Adar/Ripk1/Nlrc5/Ly6e,ENSMUSG00000038179/ENSMUSG00000073409/ENSMUSG00000031762/ENSMUSG00000035042/ENSMUSG00000060550/ENSMUSG00000026104/ENSMUSG00000060802/ENSMUSG00000027678/ENSMUSG00000031712/ENSMUSG00000030748/ENSMUSG00000004040/ENSMUSG00000046718/ENSMUSG00000024789/ENSMUSG00000067212/ENSMUSG00000027951/ENSMUSG00000021408/ENSMUSG00000074151/ENSMUSG00000022587,H
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,6,6/199,49/4395,0.2698246877357104,54132/216161/17250/17196/22166/68576,Pdlim1/Sbno2/Abcc1/Mbp/Txn1/Lamtor5,ENSMUSG00000055044/ENSMUSG00000035673/ENSMUSG00000023088/ENSMUSG00000041607/ENSMUSG00000028367/ENSMUSG00000087260,H
HALLMARK_INFLAMMATORY_RESPONSE,14,14/199,199/4395,0.41259292230559297,12273/20354/11303/20304/17387/16177/24115/192187/16168/19267/16190/69550/17069/16561,C5ar1/Sema4d/Abca1/Ccl5/Mmp14/Il1r1/Best1/Stab1/Il15/Ptpre/Il4ra/Bst2/Ly6e/Kif1b,ENSMUSG00000049130/ENSMUSG00000021451/ENSMUSG00000015243/ENSMUSG00000035042/ENSMUSG00000000957/ENSMUSG00000026072/ENSMUSG00000037418/ENSMUSG00000042286/ENSMUSG00000031712/ENSMUSG00000041836/ENSMUSG00000030748/ENSMUSG00000046718/ENSMUSG00000022587/ENSMUSG00000063077,H
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,14/199,200/4395,0.41259292230559297,14733/21810/54725/17387/16419/21825/16790/30794/192176/14268/12847/16168/20969/18129,Gpc1/Tgfbi/Cadm1/Mmp14/Itgb5/Thbs1/Anpep/Pdlim4/Flna/Fn1/Copa/Il15/Sdc1/Notch2,ENSMUSG00000034220/ENSMUSG00000035493/ENSMUSG00000032076/ENSMUSG00000000957/ENSMUSG00000022817/ENSMUSG00000040152/ENSMUSG00000039062/ENSMUSG00000020388/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000026553/ENSMUSG00000031712/ENSMUSG00000020592/ENSMUSG00000027878,H
HALLMARK_IL2_STAT5_SIGNALING,14,14/199,200/4395,0.41259292230559297,229521/16004/14744/11492/18186/19883/11658/17913/20430/17979/16190/20947/20193/18263,Syt11/Igf2r/Gpr65/Adam19/Nrp1/Rora/Alcam/Myo1c/Cyfip1/Ncoa3/Il4ra/Swap70/S100a1/Odc1,ENSMUSG00000068923/ENSMUSG00000023830/ENSMUSG00000021886/ENSMUSG00000011256/ENSMUSG00000025810/ENSMUSG00000032238/ENSMUSG00000022636/ENSMUSG00000017774/ENSMUSG00000030447/ENSMUSG00000027678/ENSMUSG00000030748/ENSMUSG00000031015/ENSMUSG00000044080/ENSMUSG00000011179,H
HALLMARK_MYOGENESIS,14,14/199,200/4395,0.41259292230559297,19309/12709/16419/17913/97064/14199/16000/11568/140570/17886/53311/68507/20740/14248,Pygm/Ckb/Itgb5/Myo1c/Wwtr1/Fhl1/Igf1/Aebp1/Plxnb2/Myh9/Mybph/Ppfia4/Sptan1/Flii,ENSMUSG00000032648/ENSMUSG00000001270/ENSMUSG00000022817/ENSMUSG00000017774/ENSMUSG00000027803/ENSMUSG00000023092/ENSMUSG00000020053/ENSMUSG00000020473/ENSMUSG00000036606/ENSMUSG00000022443/ENSMUSG00000042451/ENSMUSG00000026458/ENSMUSG00000057738/ENSMUSG00000002812,H
HALLMARK_INTERFERON_ALPHA_RESPONSE,8,8/199,102/4395,0.48642067282829365,15018/12010/16168/16190/69550/15040/56417/17069,H2-Q7/B2m/Il15/Il4ra/Bst2/H2-T23/Adar/Ly6e,ENSMUSG00000060550/ENSMUSG00000060802/ENSMUSG00000031712/ENSMUSG00000030748/ENSMUSG00000046718/ENSMUSG00000067212/ENSMUSG00000027951/ENSMUSG00000022587,H
HALLMARK_IL6_JAK_STAT3_SIGNALING,7,7/199,88/4395,0.5001650420448378,16847/16177/20846/12527/16190/20848/54721,Lepr/Il1r1/Stat1/Cd9/Il4ra/Stat3/Tyk2,ENSMUSG00000057722/ENSMUSG00000026072/ENSMUSG00000026104/ENSMUSG00000030342/ENSMUSG00000030748/ENSMUSG00000004040/ENSMUSG00000032175,H
