Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory,module
KEGG_CIRCADIAN_RHYTHM_MAMMAL,2,2/86,13/5055,0.4583981101465405,217166/18626,Nr1d1/Per1,ENSMUSG00000020889/ENSMUSG00000020893,C2,CP:KEGG,0
KEGG_PRION_DISEASES,3,3/86,34/5055,0.4583981101465405,20655/15139/19108,Sod1/Hc/Prkx,ENSMUSG00000022982/ENSMUSG00000026874/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_HEDGEHOG_SIGNALING_PATHWAY,4,4/86,53/5055,0.4583981101465405,103236/12159/22419/19108,Csnk1g2/Bmp4/Wnt5b/Prkx,ENSMUSG00000003345/ENSMUSG00000021835/ENSMUSG00000030170/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_ERBB_SIGNALING_PATHWAY,5,5/86,87/5055,0.4583981101465405,11352/18479/18709/18750/214230,Abl2/Pak1/Pik3r2/Prkca/Pak6,ENSMUSG00000026596/ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000050965/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,6,6/86,120/5055,0.4583981101465405,18479/18709/19247/18750/16642/667977,Pak1/Pik3r2/Ptpn11/Prkca/Klrc2/Gm8909,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000043733/ENSMUSG00000050965/ENSMUSG00000052736/ENSMUSG00000073402,C2,CP:KEGG,0
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,2,2/86,22/5055,0.473467143241104,11932/216456,Atp1b2/Gls2,ENSMUSG00000041329/ENSMUSG00000044005,C2,CP:KEGG,0
KEGG_HOMOLOGOUS_RECOMBINATION,2,2/86,27/5055,0.473467143241104,114714/19363,Rad51c/Rad51b,ENSMUSG00000007646/ENSMUSG00000059060,C2,CP:KEGG,0
KEGG_RNA_POLYMERASE,2,2/86,27/5055,0.473467143241104,218832/69870,Polr3a/Polr3gl,ENSMUSG00000025280/ENSMUSG00000028104,C2,CP:KEGG,0
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,3,3/86,42/5055,0.473467143241104,18709/11932/18750,Pik3r2/Atp1b2/Prkca,ENSMUSG00000031834/ENSMUSG00000041329/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_NON_SMALL_CELL_LUNG_CANCER,3,3/86,54/5055,0.473467143241104,18709/12578/18750,Pik3r2/Cdkn2a/Prkca,ENSMUSG00000031834/ENSMUSG00000044303/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_RENAL_CELL_CARCINOMA,4,4/86,70/5055,0.473467143241104,18479/18709/19247/214230,Pak1/Pik3r2/Ptpn11/Pak6,ENSMUSG00000030774/ENSMUSG00000031834/ENSMUSG00000043733/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_CHRONIC_MYELOID_LEUKEMIA,4,4/86,73/5055,0.473467143241104,14013/18709/19247/12578,Mecom/Pik3r2/Ptpn11/Cdkn2a,ENSMUSG00000027684/ENSMUSG00000031834/ENSMUSG00000043733/ENSMUSG00000044303,C2,CP:KEGG,0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,4,4/86,83/5055,0.473467143241104,12235/18817/18709/19108,Bub1/Plk1/Pik3r2/Prkx,ENSMUSG00000027379/ENSMUSG00000030867/ENSMUSG00000031834/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_PYRIMIDINE_METABOLISM,4,4/86,95/5055,0.473467143241104,218832/21915/171567/69870,Polr3a/Dtymk/Nme7/Polr3gl,ENSMUSG00000025280/ENSMUSG00000026281/ENSMUSG00000026575/ENSMUSG00000028104,C2,CP:KEGG,0
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,5,5/86,113/5055,0.473467143241104,11541/109624/19108/18750/100502876,Adora2b/Cald1/Prkx/Prkca/Kcnmb3,ENSMUSG00000018500/ENSMUSG00000029761/ENSMUSG00000035725/ENSMUSG00000050965/ENSMUSG00000091091,C2,CP:KEGG,0
KEGG_SPLICEOSOME,5,5/86,123/5055,0.473467143241104,67039/72654/66101/68479/230596,Rbm25/Ccdc12/Ppih/Phf5a/Prpf38a,ENSMUSG00000010608/ENSMUSG00000019659/ENSMUSG00000060288/ENSMUSG00000061360/ENSMUSG00000063800,C2,CP:KEGG,0
KEGG_AXON_GUIDANCE,5,5/86,129/5055,0.473467143241104,20358/13841/18479/268902/214230,Sema6a/Epha7/Pak1/Robo2/Pak6,ENSMUSG00000019647/ENSMUSG00000028289/ENSMUSG00000030774/ENSMUSG00000052516/ENSMUSG00000074923,C2,CP:KEGG,0
KEGG_PURINE_METABOLISM,6,6/86,156/5055,0.473467143241104,11486/23984/218832/171567/69870/110385,Ada/Pde10a/Polr3a/Nme7/Polr3gl/Pde4c,ENSMUSG00000017697/ENSMUSG00000023868/ENSMUSG00000025280/ENSMUSG00000026575/ENSMUSG00000028104/ENSMUSG00000031842,C2,CP:KEGG,0
KEGG_CALCIUM_SIGNALING_PATHWAY,6,6/86,174/5055,0.473467143241104,11541/19108/19218/18750/20192/21924,Adora2b/Prkx/Ptger3/Prkca/Ryr3/Tnnc1,ENSMUSG00000018500/ENSMUSG00000035725/ENSMUSG00000040016/ENSMUSG00000050965/ENSMUSG00000057378/ENSMUSG00000091898,C2,CP:KEGG,0
KEGG_GLIOMA,3,3/86,64/5055,0.5420007528270491,18709/12578/18750,Pik3r2/Cdkn2a/Prkca,ENSMUSG00000031834/ENSMUSG00000044303/ENSMUSG00000050965,C2,CP:KEGG,0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,3,3/86,69/5055,0.5420007528270491,72058/18479/19247,Igsf5/Pak1/Ptpn11,ENSMUSG00000000159/ENSMUSG00000030774/ENSMUSG00000043733,C2,CP:KEGG,0
KEGG_OOCYTE_MEIOSIS,4,4/86,108/5055,0.5420007528270491,20874/12235/18817/19108,Slk/Bub1/Plk1/Prkx,ENSMUSG00000025060/ENSMUSG00000027379/ENSMUSG00000030867/ENSMUSG00000035725,C2,CP:KEGG,0
KEGG_JAK_STAT_SIGNALING_PATHWAY,5,5/86,147/5055,0.5420007528270491,237313/18709/192157/19247/67296,Il20ra/Pik3r2/Socs7/Ptpn11/Socs4,ENSMUSG00000020007/ENSMUSG00000031834/ENSMUSG00000038485/ENSMUSG00000043733/ENSMUSG00000048379,C2,CP:KEGG,0
KEGG_WNT_SIGNALING_PATHWAY,5,5/86,147/5055,0.5420007528270491,81004/22419/19108/212398/18750,Tbl1xr1/Wnt5b/Prkx/Frat2/Prkca,ENSMUSG00000027630/ENSMUSG00000030170/ENSMUSG00000035725/ENSMUSG00000047604/ENSMUSG00000050965,C2,CP:KEGG,0
