Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,module
HALLMARK_NOTCH_SIGNALING,1,1/62,32/4395,0.9515648584032357,18750,Prkca,ENSMUSG00000050965,H,0
HALLMARK_APICAL_SURFACE,1,1/62,44/4395,0.9515648584032357,14451,Gas1,ENSMUSG00000052957,H,0
HALLMARK_TGF_BETA_SIGNALING,1,1/62,54/4395,0.9515648584032357,18550,Furin,ENSMUSG00000030530,H,0
HALLMARK_MYC_TARGETS_V2,1,1/62,58/4395,0.9515648584032357,59028,Rcl1,ENSMUSG00000024785,H,0
HALLMARK_IL6_JAK_STAT3_SIGNALING,1,1/62,88/4395,0.9515648584032357,23897,Hax1,ENSMUSG00000027944,H,0
HALLMARK_INTERFERON_ALPHA_RESPONSE,1,1/62,102/4395,0.9515648584032357,19106,Eif2ak2,ENSMUSG00000024079,H,0
HALLMARK_PEROXISOME,1,1/62,107/4395,0.9515648584032357,235674,Acaa1b,ENSMUSG00000010651,H,0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1,1/62,113/4395,0.9515648584032357,75416,Nop14,ENSMUSG00000036693,H,0
HALLMARK_COAGULATION,1,1/62,141/4395,0.9515648584032357,18550,Furin,ENSMUSG00000030530,H,0
HALLMARK_UV_RESPONSE_DN,1,1/62,144/4395,0.9515648584032357,18750,Prkca,ENSMUSG00000050965,H,0
HALLMARK_APOPTOSIS,1,1/62,161/4395,0.9515648584032357,16668,Krt18,ENSMUSG00000023043,H,0
HALLMARK_APICAL_JUNCTION,1,1/62,199/4395,0.9515648584032357,69165,Cd209b,ENSMUSG00000065987,H,0
HALLMARK_INFLAMMATORY_RESPONSE,1,1/62,199/4395,0.9515648584032357,19106,Eif2ak2,ENSMUSG00000024079,H,0
HALLMARK_ALLOGRAFT_REJECTION,1,1/62,204/4395,0.9515648584032357,12578,Cdkn2a,ENSMUSG00000044303,H,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,1,1/62,208/4395,0.9515648584032357,19106,Eif2ak2,ENSMUSG00000024079,H,0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2,2/62,74/4395,0.9515648584032357,105853/108767,Mal2/Pnrc1,ENSMUSG00000024479/ENSMUSG00000040128,H,0
HALLMARK_PROTEIN_SECRETION,2,2/62,96/4395,0.9515648584032357,16668/216350,Krt18/Tspan8,ENSMUSG00000023043/ENSMUSG00000034127,H,0
HALLMARK_BILE_ACID_METABOLISM,2,2/62,113/4395,0.9515648584032357,13123/11835,Cyp7b1/Ar,ENSMUSG00000039519/ENSMUSG00000046532,H,0
HALLMARK_HEME_METABOLISM,2,2/62,195/4395,0.9515648584032357,74309/59028,Osbp2/Rcl1,ENSMUSG00000020435/ENSMUSG00000024785,H,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2,2/62,200/4395,0.9515648584032357,18074/14451,Nid2/Gas1,ENSMUSG00000021806/ENSMUSG00000052957,H,0
HALLMARK_GLYCOLYSIS,2,2/62,200/4395,0.9515648584032357,56375/23897,B4galt4/Hax1,ENSMUSG00000022793/ENSMUSG00000027944,H,0
HALLMARK_IL2_STAT5_SIGNALING,2,2/62,200/4395,0.9515648584032357,18263/18550,Odc1/Furin,ENSMUSG00000011179/ENSMUSG00000030530,H,0
HALLMARK_MYC_TARGETS_V1,2,2/62,200/4395,0.9515648584032357,18263/70316,Odc1/Ndufab1,ENSMUSG00000011179/ENSMUSG00000030869,H,0
HALLMARK_MYOGENESIS,2,2/62,200/4395,0.9515648584032357,12224/17907,Klf5/Mylpf,ENSMUSG00000005148/ENSMUSG00000030672,H,0
HALLMARK_KRAS_SIGNALING_DN,2,2/62,205/4395,0.9515648584032357,15139/21819,Hc/Tg,ENSMUSG00000026874/ENSMUSG00000053469,H,0
HALLMARK_DNA_REPAIR,3,3/62,150/4395,0.9515648584032357,27369/20922/68219,Dguok/Supt4a/Nudt21,ENSMUSG00000014554/ENSMUSG00000020485/ENSMUSG00000031754,H,0
HALLMARK_FATTY_ACID_METABOLISM,3,3/62,160/4395,0.9515648584032357,235674/18263/14080,Acaa1b/Odc1/Fabp1,ENSMUSG00000010651/ENSMUSG00000011179/ENSMUSG00000054422,H,0
HALLMARK_MITOTIC_SPINDLE,3,3/62,199/4395,0.9515648584032357,68097/12235/68743,Dynll2/Bub1/Anln,ENSMUSG00000020483/ENSMUSG00000027379/ENSMUSG00000036777,H,0
HALLMARK_MTORC1_SIGNALING,3,3/62,200/4395,0.9515648584032357,78925/12235/56312,Srd5a1/Bub1/Nupr1,ENSMUSG00000021594/ENSMUSG00000027379/ENSMUSG00000030717,H,0
HALLMARK_HYPOXIA,3,3/62,201/4395,0.9515648584032357,56485/108767/18750,Slc2a5/Pnrc1/Prkca,ENSMUSG00000028976/ENSMUSG00000040128/ENSMUSG00000050965,H,0
HALLMARK_XENOBIOTIC_METABOLISM,3,3/62,202/4395,0.9515648584032357,14080/11761/14415,Fabp1/Aox1/Gad1,ENSMUSG00000054422/ENSMUSG00000063558/ENSMUSG00000070880,H,0
HALLMARK_KRAS_SIGNALING_UP,3,3/62,204/4395,0.9515648584032357,24064/57349/234309,Spry2/Ppbp/Cbr4,ENSMUSG00000022114/ENSMUSG00000029372/ENSMUSG00000031641,H,0
HALLMARK_UV_RESPONSE_UP,4,4/62,162/4395,0.9515648584032357,235674/18550/20887/15512,Acaa1b/Furin/Sult1a1/Hspa2,ENSMUSG00000010651/ENSMUSG00000030530/ENSMUSG00000030711/ENSMUSG00000059970,H,0
HALLMARK_ADIPOGENESIS,4,4/62,200/4395,0.9515648584032357,19376/20887/70316/19218,Rab34/Sult1a1/Ndufab1/Ptger3,ENSMUSG00000002059/ENSMUSG00000030711/ENSMUSG00000030869/ENSMUSG00000040016,H,0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4,4/62,200/4395,0.9515648584032357,18626/108767/15936/15939,Per1/Pnrc1/Ier2/Ier5,ENSMUSG00000020893/ENSMUSG00000040128/ENSMUSG00000053560/ENSMUSG00000056708,H,0
HALLMARK_ESTROGEN_RESPONSE_LATE,4,4/62,206/4395,0.9515648584032357,15460/56335/30045/19218,Hr/Mettl3/Dnajc12/Ptger3,ENSMUSG00000022096/ENSMUSG00000022160/ENSMUSG00000036764/ENSMUSG00000040016,H,0
HALLMARK_SPERMATOGENESIS,5,5/62,135/4395,0.9515648584032357,18976/12235/56485/15512/14415,Pomc/Bub1/Slc2a5/Hspa2/Gad1,ENSMUSG00000020660/ENSMUSG00000027379/ENSMUSG00000028976/ENSMUSG00000059970/ENSMUSG00000070880,H,0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5,5/62,198/4395,0.9515648584032357,235674/69802/67994/70316/210009,Acaa1b/Cox11/Mrps11/Ndufab1/Mtrr,ENSMUSG00000010651/ENSMUSG00000020544/ENSMUSG00000030611/ENSMUSG00000030869/ENSMUSG00000034617,H,0
HALLMARK_G2M_CHECKPOINT,5,5/62,199/4395,0.9515648584032357,18263/15354/12412/15260/12235,Odc1/Hmgb3/Cbx1/Hira/Bub1,ENSMUSG00000011179/ENSMUSG00000015217/ENSMUSG00000018666/ENSMUSG00000022702/ENSMUSG00000027379,H,0
HALLMARK_E2F_TARGETS,5,5/62,200/4395,0.9515648584032357,114714/15354/67196/68219/12578,Rad51c/Hmgb3/Ube2t/Nudt21/Cdkn2a,ENSMUSG00000007646/ENSMUSG00000015217/ENSMUSG00000026429/ENSMUSG00000031754/ENSMUSG00000044303,H,0
HALLMARK_ESTROGEN_RESPONSE_EARLY,5,5/62,200/4395,0.9515648584032357,15460/16668/20510/11835/244152,Hr/Krt18/Slc1a1/Ar/Tsku,ENSMUSG00000022096/ENSMUSG00000023043/ENSMUSG00000024935/ENSMUSG00000046532/ENSMUSG00000049580,H,0
HALLMARK_P53_PATHWAY,5,5/62,200/4395,0.9515648584032357,114714/56312/216456/12578/15939,Rad51c/Nupr1/Gls2/Cdkn2a/Ier5,ENSMUSG00000007646/ENSMUSG00000030717/ENSMUSG00000044005/ENSMUSG00000044303/ENSMUSG00000056708,H,0
