category,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
H,02,463,142,4395,HALLMARK_MITOTIC_SPINDLE,27,199,0.135678391959799,3.881673361638943e-9,3.881673361638943e-9,17925/71774/94176/20742/21973/18080/17886/70799/286940/18129/208628/19303/192176/171207/71819/233276/226407/108903/214444/277360/213498/223697/20740/381921/16561/76707/101706,Myo9b/Shroom1/Dock2/Sptbn1/Top2a/Nin/Myh9/Cep192/Flnb/Notch2/Kntc1/Pxn/Flna/Arhgap4/Kif23/Tubgcp5/Rab3gap1/Tbcd/Cdk5rap2/Prex1/Arhgef11/Sun2/Sptan1/Taok2/Kif1b/Clasp1/Numa1,ENSMUSG00000004677/ENSMUSG00000018387/ENSMUSG00000020143/ENSMUSG00000020315/ENSMUSG00000020914/ENSMUSG00000021068/ENSMUSG00000022443/ENSMUSG00000024542/ENSMUSG00000025278/ENSMUSG00000027878/ENSMUSG00000029414/ENSMUSG00000029528/ENSMUSG00000031328/ENSMUSG00000031389/ENSMUSG00000032254/ENSMUSG00000033790/ENSMUSG00000036104/ENSMUSG00000039230/ENSMUSG00000039298/ENSMUSG00000039621/ENSMUSG00000041977/ENSMUSG00000042524/ENSMUSG00000057738/ENSMUSG00000059981/ENSMUSG00000063077/ENSMUSG00000064302/ENSMUSG00000066306
H,02,463,142,4395,HALLMARK_E2F_TARGETS,10,200,0.05,0.7438304810666527,0.7438304810666526,54141/103135/18972/21973/218210/12580/20842/68298/18971/70699,Spag5/Pan2/Pold2/Top2a/Nup153/Cdkn2c/Stag1/Ncapd2/Pold1/Nup205,ENSMUSG00000002055/ENSMUSG00000005682/ENSMUSG00000020471/ENSMUSG00000020914/ENSMUSG00000021374/ENSMUSG00000028551/ENSMUSG00000037286/ENSMUSG00000038252/ENSMUSG00000038644/ENSMUSG00000038759
H,02,463,142,4395,HALLMARK_G2M_CHECKPOINT,11,199,0.05527638190954774,0.7438304810666527,0.7438304810666526,21973/19134/20496/18129/12580/212999/71819/21887/77782/20842/101706,Top2a/Prpf4b/Slc12a2/Notch2/Cdkn2c/Tnpo2/Kif23/Tle3/Polq/Stag1/Numa1,ENSMUSG00000020914/ENSMUSG00000021413/ENSMUSG00000024597/ENSMUSG00000027878/ENSMUSG00000028551/ENSMUSG00000031691/ENSMUSG00000032254/ENSMUSG00000032280/ENSMUSG00000034206/ENSMUSG00000037286/ENSMUSG00000066306
H,02,463,142,4395,HALLMARK_HEDGEHOG_SIGNALING,3,36,0.08333333333333333,0.7438304810666527,0.7438304810666526,17886/18187/21887,Myh9/Nrp2/Tle3,ENSMUSG00000022443/ENSMUSG00000025969/ENSMUSG00000032280
H,02,463,142,4395,HALLMARK_NOTCH_SIGNALING,3,32,0.09375,0.7438304810666527,0.7438304810666526,18129/14369/14362,Notch2/Fzd7/Fzd1,ENSMUSG00000027878/ENSMUSG00000041075/ENSMUSG00000044674
H,02,463,142,4395,HALLMARK_P53_PATHWAY,11,200,0.055,0.7438304810666527,0.7438304810666526,17988/11783/76884/20969/27416/26570/230233/12445/140570/19267/16554,Ndrg1/Apaf1/Cyfip2/Sdc1/Abcc5/Slc7a11/Elp1/Ccnd3/Plxnb2/Ptpre/Kif13b,ENSMUSG00000005125/ENSMUSG00000019979/ENSMUSG00000020340/ENSMUSG00000020592/ENSMUSG00000022822/ENSMUSG00000027737/ENSMUSG00000028431/ENSMUSG00000034165/ENSMUSG00000036606/ENSMUSG00000041836/ENSMUSG00000060012
H,02,463,142,4395,HALLMARK_UV_RESPONSE_DN,8,144,0.05555555555555555,0.7438304810666527,0.7438304810666526,17295/207615/13548/27360/226519/18129/18707/217692,Met/Wdr37/Dyrk1a/Add3/Lamc1/Notch2/Pik3cd/Sipa1l1,ENSMUSG00000009376/ENSMUSG00000021147/ENSMUSG00000022897/ENSMUSG00000025026/ENSMUSG00000026478/ENSMUSG00000027878/ENSMUSG00000039936/ENSMUSG00000042700
H,02,463,142,4395,HALLMARK_GLYCOLYSIS,9,200,0.045,0.9862262160785896,0.9862262160785896,15277/17295/20969/50527/20970/52231/14583/100910/23908,Hk2/Met/Sdc1/Ero1l/Sdc3/Ankzf1/Gfpt1/Chpf2/Hs2st1,ENSMUSG00000000628/ENSMUSG00000009376/ENSMUSG00000020592/ENSMUSG00000021831/ENSMUSG00000025743/ENSMUSG00000026199/ENSMUSG00000029992/ENSMUSG00000038181/ENSMUSG00000040151
H,02,463,142,4395,HALLMARK_HEME_METABOLISM,9,195,0.046153846153846156,0.9862262160785896,0.9862262160785896,67608/60611/14055/70827/26570/11518/12445/84585/219094,Narf/Foxj2/Ezh1/Trak2/Slc7a11/Add1/Ccnd3/Rnf123/Khnyn,ENSMUSG00000000056/ENSMUSG00000003154/ENSMUSG00000006920/ENSMUSG00000026028/ENSMUSG00000027737/ENSMUSG00000029106/ENSMUSG00000034165/ENSMUSG00000041528/ENSMUSG00000047153
H,02,463,142,4395,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,3,49,0.061224489795918366,0.9862262160785896,0.9862262160785896,216161/108737/17196,Sbno2/Oxsr1/Mbp,ENSMUSG00000035673/ENSMUSG00000036737/ENSMUSG00000041607
H,02,463,142,4395,HALLMARK_ADIPOGENESIS,7,200,0.035,0.9987133739846927,0.9987133739846926,20514/11512/14732/12580/12452/108954/19043,Slc1a5/Adcy6/Gpam/Cdkn2c/Ccng2/Ppp1r15b/Ppm1b,ENSMUSG00000001918/ENSMUSG00000022994/ENSMUSG00000024978/ENSMUSG00000028551/ENSMUSG00000029385/ENSMUSG00000046062/ENSMUSG00000061130
