geneName,module,mgi_symbol,gene_biotype,module.char,mod.color
ENSMUSG00000000056,2,Narf,protein_coding,02,blue
ENSMUSG00000000088,1,Cox5a,protein_coding,01,turquoise
ENSMUSG00000000126,0,Wnt9a,protein_coding,00,grey
ENSMUSG00000000131,2,Xpo6,protein_coding,02,blue
ENSMUSG00000000148,8,Brat1,protein_coding,08,pink
ENSMUSG00000000157,2,Itgb2l,protein_coding,02,blue
ENSMUSG00000000159,0,Igsf5,protein_coding,00,grey
ENSMUSG00000000184,9,Ccnd2,protein_coding,09,magenta
ENSMUSG00000000194,6,Gpr107,protein_coding,06,red
ENSMUSG00000000248,6,Clec2g,protein_coding,06,red
ENSMUSG00000000253,7,Gmpr,protein_coding,07,black
ENSMUSG00000000278,12,Scpep1,protein_coding,12,tan
ENSMUSG00000000295,7,Hddc2,protein_coding,07,black
ENSMUSG00000000303,7,Cdh1,protein_coding,07,black
ENSMUSG00000000305,2,Cdh4,protein_coding,02,blue
ENSMUSG00000000318,6,Clec10a,protein_coding,06,red
ENSMUSG00000000320,0,Alox12,protein_coding,00,grey
ENSMUSG00000000355,1,Mcts1,protein_coding,01,turquoise
ENSMUSG00000000420,11,Galnt1,protein_coding,11,greenyellow
ENSMUSG00000000440,7,Pparg,protein_coding,07,black
ENSMUSG00000000441,8,Raf1,protein_coding,08,pink
ENSMUSG00000000489,5,Pdgfb,protein_coding,05,green
ENSMUSG00000000530,5,Acvrl1,protein_coding,05,green
ENSMUSG00000000538,8,Tom1l2,protein_coding,08,pink
ENSMUSG00000000594,12,Gm2a,protein_coding,12,tan
ENSMUSG00000000628,2,Hk2,protein_coding,02,blue
ENSMUSG00000000631,2,Myo18a,protein_coding,02,blue
ENSMUSG00000000682,9,Cd52,protein_coding,09,magenta
ENSMUSG00000000686,5,Abhd15,protein_coding,05,green
ENSMUSG00000000711,4,Rab5b,protein_coding,04,yellow
ENSMUSG00000000730,12,Dnmt3l,protein_coding,12,tan
ENSMUSG00000000740,3,Rpl13,protein_coding,03,brown
ENSMUSG00000000759,8,Tubgcp3,protein_coding,08,pink
ENSMUSG00000000794,7,Kcnn3,protein_coding,07,black
ENSMUSG00000000838,4,Fmr1,protein_coding,04,yellow
ENSMUSG00000000876,7,Pxmp4,protein_coding,07,black
ENSMUSG00000000915,2,Hip1r,protein_coding,02,blue
ENSMUSG00000000957,5,Mmp14,protein_coding,05,green
ENSMUSG00000000976,2,Heatr6,protein_coding,02,blue
ENSMUSG00000000982,1,Ccl3,protein_coding,01,turquoise
ENSMUSG00000001034,5,Mapk7,protein_coding,05,green
ENSMUSG00000001054,3,Rmnd5b,protein_coding,03,brown
ENSMUSG00000001056,3,Nhp2,protein_coding,03,brown
ENSMUSG00000001065,2,Zfp276,protein_coding,02,blue
ENSMUSG00000001089,0,Luzp1,protein_coding,00,grey
ENSMUSG00000001105,1,Ift20,protein_coding,01,turquoise
ENSMUSG00000001128,5,Cfp,protein_coding,05,green
ENSMUSG00000001134,1,Uxt,protein_coding,01,turquoise
ENSMUSG00000001138,14,Cnnm3,protein_coding,14,cyan
ENSMUSG00000001150,2,Mcm3ap,protein_coding,02,blue
ENSMUSG00000001151,4,Pcnt,protein_coding,04,yellow
ENSMUSG00000001228,2,Uhrf1,protein_coding,02,blue
ENSMUSG00000001247,7,Lsr,protein_coding,07,black
ENSMUSG00000001270,5,Ckb,protein_coding,05,green
ENSMUSG00000001280,6,Sp1,protein_coding,06,red
ENSMUSG00000001281,17,Itgb7,protein_coding,17,grey60
ENSMUSG00000001289,9,Pfdn5,protein_coding,09,magenta
ENSMUSG00000001348,1,Acp5,protein_coding,01,turquoise
