Shah_contrast.1,Shah_contrast.2,Shah_contrast.3,Shah_contrast.4,Shah_contrast.5,Shah_contrast.6,Shah_contrast.7,Shah_contrast.8,Shah_contrast.9,Shah_contrast.10,Shah_contrast.11,Shah_contrast.12,Shah_contrast.13,Shah_contrast.14,Shah_contrast.15,Shah_contrast.16,Shah_contrast.17,Shah_contrast.18
ENSMUSG00000000088,ENSMUSG00000000056,ENSMUSG00000000740,ENSMUSG00000000711,ENSMUSG00000000489,ENSMUSG00000000194,ENSMUSG00000000253,ENSMUSG00000000148,ENSMUSG00000000184,ENSMUSG00000002343,ENSMUSG00000000420,ENSMUSG00000000278,ENSMUSG00000001588,ENSMUSG00000001138,ENSMUSG00000007656,ENSMUSG00000001403,ENSMUSG00000001281,
ENSMUSG00000000355,ENSMUSG00000000131,ENSMUSG00000001054,ENSMUSG00000000838,ENSMUSG00000000530,ENSMUSG00000000248,ENSMUSG00000000295,ENSMUSG00000000441,ENSMUSG00000000682,ENSMUSG00000002812,ENSMUSG00000001542,ENSMUSG00000000594,ENSMUSG00000003585,ENSMUSG00000002308,ENSMUSG00000014177,ENSMUSG00000002797,ENSMUSG00000003746,
ENSMUSG00000000982,ENSMUSG00000000157,ENSMUSG00000001056,ENSMUSG00000001151,ENSMUSG00000000686,ENSMUSG00000000318,ENSMUSG00000000303,ENSMUSG00000000538,ENSMUSG00000001289,ENSMUSG00000003810,ENSMUSG00000001687,ENSMUSG00000000730,ENSMUSG00000005360,ENSMUSG00000003604,ENSMUSG00000015843,ENSMUSG00000003549,ENSMUSG00000004633,
ENSMUSG00000001105,ENSMUSG00000000305,ENSMUSG00000001525,ENSMUSG00000001569,ENSMUSG00000000957,ENSMUSG00000001280,ENSMUSG00000000440,ENSMUSG00000000759,ENSMUSG00000002043,ENSMUSG00000005374,ENSMUSG00000001995,ENSMUSG00000001440,ENSMUSG00000005774,ENSMUSG00000006235,ENSMUSG00000017417,ENSMUSG00000010358,ENSMUSG00000011256,
ENSMUSG00000001134,ENSMUSG00000000628,ENSMUSG00000001674,ENSMUSG00000001998,ENSMUSG00000001034,ENSMUSG00000003309,ENSMUSG00000000794,ENSMUSG00000001910,ENSMUSG00000002968,ENSMUSG00000005899,ENSMUSG00000002222,ENSMUSG00000002076,ENSMUSG00000015829,ENSMUSG00000007034,ENSMUSG00000018868,ENSMUSG00000015869,ENSMUSG00000014599,
ENSMUSG00000001348,ENSMUSG00000000631,ENSMUSG00000001911,ENSMUSG00000002428,ENSMUSG00000001128,ENSMUSG00000004105,ENSMUSG00000000876,ENSMUSG00000002496,ENSMUSG00000005447,ENSMUSG00000008730,ENSMUSG00000003316,ENSMUSG00000002103,ENSMUSG00000018341,ENSMUSG00000007867,ENSMUSG00000019970,ENSMUSG00000017734,ENSMUSG00000015243,
ENSMUSG00000001366,ENSMUSG00000000915,ENSMUSG00000001962,ENSMUSG00000003226,ENSMUSG00000001270,ENSMUSG00000005102,ENSMUSG00000001247,ENSMUSG00000002602,ENSMUSG00000005566,ENSMUSG00000009079,ENSMUSG00000006611,ENSMUSG00000004207,ENSMUSG00000019577,ENSMUSG00000009630,ENSMUSG00000020377,ENSMUSG00000018537,ENSMUSG00000017009,
ENSMUSG00000001383,ENSMUSG00000000976,ENSMUSG00000002379,ENSMUSG00000005370,ENSMUSG00000002104,ENSMUSG00000005267,ENSMUSG00000002475,ENSMUSG00000002897,ENSMUSG00000014294,ENSMUSG00000009741,ENSMUSG00000008305,ENSMUSG00000004730,ENSMUSG00000021187,ENSMUSG00000014301,ENSMUSG00000020484,ENSMUSG00000019774,ENSMUSG00000019951,
ENSMUSG00000001627,ENSMUSG00000001065,ENSMUSG00000002395,ENSMUSG00000005609,ENSMUSG00000002981,ENSMUSG00000005580,ENSMUSG00000002477,ENSMUSG00000002957,ENSMUSG00000014470,ENSMUSG00000011832,ENSMUSG00000011958,ENSMUSG00000005410,ENSMUSG00000021416,ENSMUSG00000014592,ENSMUSG00000020911,ENSMUSG00000020680,ENSMUSG00000021959,
ENSMUSG00000001642,ENSMUSG00000001150,ENSMUSG00000002580,ENSMUSG00000005610,ENSMUSG00000002985,ENSMUSG00000005871,ENSMUSG00000002500,ENSMUSG00000003779,ENSMUSG00000015337,ENSMUSG00000013629,ENSMUSG00000015766,ENSMUSG00000009470,ENSMUSG00000021556,ENSMUSG00000018143,ENSMUSG00000020937,ENSMUSG00000020712,ENSMUSG00000022534,
