module,Lu01,Lu02,Lu03,Lu04,Lu05,Lu06,Lu07,Lu08,Lu09,Lu10,Lu11,Lu12,Lu13,Lu14,Lu15,Lu16
module_Shah_contrast_00,0.6452935514199033,0.7670949408262372,0.7666536421019844,0.664109151539424,0.7213548520679508,0.670000534694986,0.6645446759075562,0.7680438365861646,0.8203585879954686,1.180077548087976,0.6278157647420153,0.8915694644316059,0.6842327052889904,1.046012883933911,0.6987266204155986,0.9332250681926458
module_Shah_contrast_01,5.378290476291686,5.036673388695917,5.383849071171533,5.214687521347046,5.3943189522685815,5.182568322607043,5.413561730792164,5.1487825950365345,5.54433347510352,5.3748329035440685,5.581691607646102,5.710985745786211,5.509926721232539,5.4236239144138825,5.485875054020342,5.449346638301511
module_Shah_contrast_02,4.631945914427237,5.202841770324251,4.707169423455996,5.014632541944135,4.644825271749722,5.015715964497424,4.562155877426056,5.100443380567748,4.409077572681164,4.676476105126882,4.318125303323126,4.359131813179597,4.466252508541953,4.654866151927523,4.4564600000242836,4.6269984579906485
module_Shah_contrast_03,4.795235395531915,4.551902351020264,4.548493142984041,4.407890735184568,4.68972921960482,4.574422318493898,4.732256109290947,4.493982545319499,4.945960366393484,4.848883678535141,4.768440152100634,5.097468055637739,4.750508568201398,4.745613568484491,4.695632303556739,4.821682838995456
module_Shah_contrast_04,5.283246098355972,5.383251465719126,5.314163985863543,5.384239563537941,5.312232316919013,5.3455298200522146,5.2177516772927754,5.391729929936738,5.088499449687798,5.10308049453321,5.094451666242955,4.442441137976319,5.2008180590259485,5.14443004292169,5.175787792813072,5.037258326277403
module_Shah_contrast_05,4.869318326819403,4.553072207240941,4.263030800361924,4.061470043545857,4.752413593564548,4.321791335083938,4.863721285270418,4.525296651533252,4.001667871703825,3.96745086370451,3.697051438490467,3.8090454181589446,3.898024841198921,3.8794244643716067,3.9354957676433076,3.9504982084563767
module_Shah_contrast_06,2.4509066598082487,2.643657594679966,2.241778809491364,2.231119448537902,2.424519015888958,2.3318781396408577,2.387950992823152,2.4020310081603133,1.3609106112811336,2.4764535713599813,1.2196976673076723,1.9517939723138036,1.2408673570990205,2.206957711317651,1.2837699941061789,2.163739428624102
module_Shah_contrast_07,3.787208312301262,4.048875730568481,4.308591618072662,4.456537738952618,3.9780198992392153,4.260841277661488,3.8209220917792415,4.2361555367785755,4.56332820207205,4.483252050638791,4.713809707506715,4.636748918783398,4.676807705621743,4.580387306911298,4.589163361686341,4.529548522889019
module_Shah_contrast_08,4.995360208347003,5.355648011109917,5.332735201075449,5.519729312915146,5.1175822603041095,5.343992740522982,5.056399769806885,5.4129091721833404,4.882792185609707,4.857815894408316,5.006745560133886,4.819643322678684,5.135275306832744,5.094736155713464,5.071331487004674,5.00479017062058
module_Shah_contrast_09,2.6991174081878135,2.7438702287569763,2.8954834078373946,2.849343795517708,2.6808860082767603,2.7816625458531687,2.7750385820421912,2.749490115881718,2.989501747571012,3.350706429016243,3.0521127884914447,3.815012578883178,2.9277208964396575,3.3566149262853178,2.93542309272721,3.3685591352938387
module_Shah_contrast_10,3.6535376624344247,3.990015187690225,3.632935147005701,3.9046026130976945,3.6510897486261373,3.7574568750701354,3.5524372517511034,3.842760199154136,3.2646976694812095,3.0937667812243803,3.3753021496685296,3.468972214869319,3.2787506247717357,3.189674900772761,3.400193815704372,3.136936303125026
module_Shah_contrast_11,5.272322949554072,5.065450143453525,5.101208974421491,5.007560890838988,5.294085788199718,5.087859447915708,5.272945047711805,5.138482967610935,4.9156507415982125,4.733582184184191,4.779474963744251,4.3551202564347795,4.911127444626997,4.729524444043655,4.978755665251178,4.541629245876164
module_Shah_contrast_12,5.313640857806283,4.499244700779105,4.944727230186517,4.630146349163744,5.1904865458009555,4.631201407843102,5.1634547526209795,4.658486234548636,4.690165751041035,4.633061145883362,4.556077370452033,4.607554687480827,4.4628245832004305,4.469331005262463,4.50190083606711,4.487313859265022
module_Shah_contrast_13,1.5079185991608453,2.750625463090923,1.9191494547400154,2.512043792710123,1.6332976705662212,2.802067753768243,1.7515588147514314,2.688527689046815,2.611200772402762,2.630333727049409,2.556828463749444,2.3685468490150146,2.587776417561229,2.650602894293494,2.8204406180578316,2.733262866366555
module_Shah_contrast_14,2.269191479656582,2.3124349539231113,2.2230748243656713,2.3551904608297165,2.284826648792521,2.2902229749910856,2.2939568344471555,2.39954520353852,3.003871189053371,2.494975490318507,2.955463046696685,2.895639870250158,2.9142906754743896,2.7201305115348062,2.994567425127829,2.7462028422563223
module_Shah_contrast_15,3.949108750233133,3.996072186788095,4.20346213657072,4.111260165349079,4.187652610514056,4.3342350557287315,4.040452118055333,4.122880217306421,4.5884813481886,4.193515420420177,4.68851989171589,4.306499288672057,4.67477332122975,4.338779259339608,4.76959680634763,4.252145541276417
module_Shah_contrast_16,2.4281298395184283,2.427007515734044,2.4060575133197233,2.2165903503372997,2.448207971320618,2.467731102383847,2.241646220570858,2.2498995616852615,2.8350188812189163,3.0118639927233812,2.599190894970442,2.7909794764981886,2.943839924368942,2.927495231074222,2.6391620253236643,2.9512005829292867
module_Shah_contrast_17,4.294587676861825,4.737086943731065,3.6484765839764663,3.7374976945754903,4.109635051609308,4.2986519990689205,4.278559151312857,4.4704647940832185,3.538840196855962,4.133174153336656,3.040512340696867,3.1133814833774913,3.3189955110111606,3.805466185727925,3.424352015260649,3.7624124840964193
