geneName,module,mgi_symbol,gene_biotype,module.char,mod.color
ENSMUSG00000000088,2,Cox5a,protein_coding,02,blue
ENSMUSG00000000148,17,Brat1,protein_coding,17,grey60
ENSMUSG00000000149,18,Gna12,protein_coding,18,lightgreen
ENSMUSG00000000157,1,Itgb2l,protein_coding,01,turquoise
ENSMUSG00000000171,5,Sdhd,protein_coding,05,green
ENSMUSG00000000184,6,Ccnd2,protein_coding,06,red
ENSMUSG00000000194,15,Gpr107,protein_coding,15,midnightblue
ENSMUSG00000000202,19,Btbd17,protein_coding,19,lightyellow
ENSMUSG00000000204,3,Slfn4,protein_coding,03,brown
ENSMUSG00000000244,16,Tspan32,protein_coding,16,lightcyan
ENSMUSG00000000248,1,Clec2g,protein_coding,01,turquoise
ENSMUSG00000000253,6,Gmpr,protein_coding,06,red
ENSMUSG00000000275,11,Trim25,protein_coding,11,greenyellow
ENSMUSG00000000278,18,Scpep1,protein_coding,18,lightgreen
ENSMUSG00000000295,10,Hddc2,protein_coding,10,purple
ENSMUSG00000000303,12,Cdh1,protein_coding,12,tan
ENSMUSG00000000305,24,Cdh4,protein_coding,24,darkgrey
ENSMUSG00000000318,20,Clec10a,protein_coding,20,royalblue
ENSMUSG00000000320,24,Alox12,protein_coding,24,darkgrey
ENSMUSG00000000355,5,Mcts1,protein_coding,05,green
ENSMUSG00000000365,12,Rnf17,protein_coding,12,tan
ENSMUSG00000000399,2,Ndufa9,protein_coding,02,blue
ENSMUSG00000000409,3,Lck,protein_coding,03,brown
ENSMUSG00000000420,9,Galnt1,protein_coding,09,magenta
ENSMUSG00000000440,6,Pparg,protein_coding,06,red
ENSMUSG00000000441,17,Raf1,protein_coding,17,grey60
ENSMUSG00000000486,3,Sept1,protein_coding,03,brown
ENSMUSG00000000489,9,Pdgfb,protein_coding,09,magenta
ENSMUSG00000000530,18,Acvrl1,protein_coding,18,lightgreen
ENSMUSG00000000538,23,Tom1l2,protein_coding,23,darkturquoise
ENSMUSG00000000552,2,Zfp385a,protein_coding,02,blue
ENSMUSG00000000562,2,Adora3,protein_coding,02,blue
ENSMUSG00000000563,5,Atp5pb,protein_coding,05,green
ENSMUSG00000000594,18,Gm2a,protein_coding,18,lightgreen
ENSMUSG00000000627,7,Sema4f,protein_coding,07,black
ENSMUSG00000000628,1,Hk2,protein_coding,01,turquoise
ENSMUSG00000000631,1,Myo18a,protein_coding,01,turquoise
ENSMUSG00000000673,3,Haao,protein_coding,03,brown
ENSMUSG00000000730,16,Dnmt3l,protein_coding,16,lightcyan
ENSMUSG00000000782,3,Tcf7,protein_coding,03,brown
ENSMUSG00000000791,9,Il12rb1,protein_coding,09,magenta
ENSMUSG00000000794,6,Kcnn3,protein_coding,06,red
ENSMUSG00000000804,1,Usp32,protein_coding,01,turquoise
ENSMUSG00000000805,6,Car4,protein_coding,06,red
ENSMUSG00000000817,3,Fasl,protein_coding,03,brown
ENSMUSG00000000823,1,Zfp512b,protein_coding,01,turquoise
ENSMUSG00000000861,1,Bcl11a,protein_coding,01,turquoise
ENSMUSG00000000869,13,Il4,protein_coding,13,salmon
ENSMUSG00000000876,6,Pxmp4,protein_coding,06,red
ENSMUSG00000000884,13,Gnb1l,protein_coding,13,salmon
ENSMUSG00000000902,2,Smarcb1,protein_coding,02,blue
ENSMUSG00000000915,1,Hip1r,protein_coding,01,turquoise
ENSMUSG00000000957,18,Mmp14,protein_coding,18,lightgreen
ENSMUSG00000000958,2,Slc7a7,protein_coding,02,blue
ENSMUSG00000000976,9,Heatr6,protein_coding,09,magenta
ENSMUSG00000000982,6,Ccl3,protein_coding,06,red
ENSMUSG00000001034,16,Mapk7,protein_coding,16,lightcyan
ENSMUSG00000001056,2,Nhp2,protein_coding,02,blue
ENSMUSG00000001065,0,Zfp276,protein_coding,00,grey
ENSMUSG00000001105,2,Ift20,protein_coding,02,blue
ENSMUSG00000001123,2,Lgals9,protein_coding,02,blue
ENSMUSG00000001128,16,Cfp,protein_coding,16,lightcyan
ENSMUSG00000001134,2,Uxt,protein_coding,02,blue
ENSMUSG00000001138,10,Cnnm3,protein_coding,10,purple
ENSMUSG00000001150,1,Mcm3ap,protein_coding,01,turquoise
ENSMUSG00000001156,1,Mxd1,protein_coding,01,turquoise
ENSMUSG00000001175,2,Calm1,protein_coding,02,blue
ENSMUSG00000001211,7,Agpat3,protein_coding,07,black
ENSMUSG00000001228,1,Uhrf1,protein_coding,01,turquoise
ENSMUSG00000001247,6,Lsr,protein_coding,06,red
ENSMUSG00000001248,7,Gramd1a,protein_coding,07,black
ENSMUSG00000001270,9,Ckb,protein_coding,09,magenta
ENSMUSG00000001280,20,Sp1,protein_coding,20,royalblue
ENSMUSG00000001281,9,Itgb7,protein_coding,09,magenta
ENSMUSG00000001289,10,Pfdn5,protein_coding,10,purple
ENSMUSG00000001300,3,Efnb2,protein_coding,03,brown
ENSMUSG00000001305,5,Rrp15,protein_coding,05,green
ENSMUSG00000001380,4,Hars,protein_coding,04,yellow
ENSMUSG00000001383,10,Zmat2,protein_coding,10,purple
ENSMUSG00000001419,3,Mef2d,protein_coding,03,brown
ENSMUSG00000001420,2,Tmem79,protein_coding,02,blue
ENSMUSG00000001440,18,Kpnb1,protein_coding,18,lightgreen
ENSMUSG00000001444,3,Tbx21,protein_coding,03,brown
ENSMUSG00000001473,18,Tubb6,protein_coding,18,lightgreen
ENSMUSG00000001507,3,Itga3,protein_coding,03,brown
ENSMUSG00000001521,20,Tulp3,protein_coding,20,royalblue
ENSMUSG00000001524,5,Gtf2h4,protein_coding,05,green
ENSMUSG00000001525,2,Tubb5,protein_coding,02,blue
ENSMUSG00000001542,8,Ell2,protein_coding,08,pink
ENSMUSG00000001588,3,Acap1,protein_coding,03,brown
ENSMUSG00000001627,5,Ifrd1,protein_coding,05,green
ENSMUSG00000001632,1,Brpf1,protein_coding,01,turquoise
ENSMUSG00000001642,6,Akr1b3,protein_coding,06,red
ENSMUSG00000001700,3,Gramd3,protein_coding,03,brown
