Shah.1,Shah.2,Shah.3,Shah.4,Shah.5,Shah.6,Shah.7,Shah.8,Shah.9,Shah.10,Shah.11,Shah.12,Shah.13,Shah.14,Shah.15,Shah.16,Shah.17,Shah.18,Shah.19
ENSMUSG00000000088,ENSMUSG00000000409,ENSMUSG00000000202,ENSMUSG00000000631,ENSMUSG00000000148,ENSMUSG00000000204,ENSMUSG00000000318,ENSMUSG00000000275,ENSMUSG00000000295,ENSMUSG00000000171,ENSMUSG00000000157,ENSMUSG00000000320,ENSMUSG00000001156,ENSMUSG00000000562,ENSMUSG00000000184,ENSMUSG00000000194,ENSMUSG00000000355,ENSMUSG00000000149,
ENSMUSG00000000902,ENSMUSG00000000486,ENSMUSG00000001440,ENSMUSG00000000976,ENSMUSG00000000305,ENSMUSG00000000804,ENSMUSG00000000530,ENSMUSG00000000303,ENSMUSG00000000982,ENSMUSG00000000563,ENSMUSG00000001211,ENSMUSG00000000538,ENSMUSG00000002055,ENSMUSG00000000958,ENSMUSG00000000253,ENSMUSG00000000489,ENSMUSG00000000552,ENSMUSG00000000278,
ENSMUSG00000001056,ENSMUSG00000000627,ENSMUSG00000001542,ENSMUSG00000001150,ENSMUSG00000000628,ENSMUSG00000000869,ENSMUSG00000000594,ENSMUSG00000001138,ENSMUSG00000001289,ENSMUSG00000001380,ENSMUSG00000002083,ENSMUSG00000003154,ENSMUSG00000004187,ENSMUSG00000001847,ENSMUSG00000000440,ENSMUSG00000001128,ENSMUSG00000001305,ENSMUSG00000001473,
ENSMUSG00000001105,ENSMUSG00000000782,ENSMUSG00000002985,ENSMUSG00000001855,ENSMUSG00000001228,ENSMUSG00000000884,ENSMUSG00000000730,ENSMUSG00000003585,ENSMUSG00000002308,ENSMUSG00000001524,ENSMUSG00000003863,ENSMUSG00000003226,ENSMUSG00000005621,ENSMUSG00000001891,ENSMUSG00000000794,ENSMUSG00000001270,ENSMUSG00000001627,ENSMUSG00000001783,
ENSMUSG00000001123,ENSMUSG00000000817,ENSMUSG00000003484,ENSMUSG00000001995,ENSMUSG00000001632,ENSMUSG00000000915,ENSMUSG00000000957,ENSMUSG00000005237,ENSMUSG00000002846,ENSMUSG00000001751,ENSMUSG00000005089,ENSMUSG00000003778,ENSMUSG00000005682,ENSMUSG00000004530,ENSMUSG00000000876,ENSMUSG00000001281,ENSMUSG00000001755,ENSMUSG00000004207,
ENSMUSG00000001134,ENSMUSG00000001419,ENSMUSG00000003617,ENSMUSG00000002343,ENSMUSG00000001918,ENSMUSG00000001248,ENSMUSG00000001034,ENSMUSG00000005360,ENSMUSG00000003549,ENSMUSG00000001785,ENSMUSG00000006850,ENSMUSG00000003847,ENSMUSG00000006019,ENSMUSG00000005683,ENSMUSG00000001247,ENSMUSG00000002104,ENSMUSG00000002010,ENSMUSG00000004233,
ENSMUSG00000001175,ENSMUSG00000001444,ENSMUSG00000005043,ENSMUSG00000003134,ENSMUSG00000002052,ENSMUSG00000001946,ENSMUSG00000001280,ENSMUSG00000014177,ENSMUSG00000003604,ENSMUSG00000002102,ENSMUSG00000007880,ENSMUSG00000005609,ENSMUSG00000006154,ENSMUSG00000005800,ENSMUSG00000001642,ENSMUSG00000003746,ENSMUSG00000003038,ENSMUSG00000004730,
ENSMUSG00000001525,ENSMUSG00000001588,ENSMUSG00000007415,ENSMUSG00000003316,ENSMUSG00000002602,ENSMUSG00000002007,ENSMUSG00000002068,ENSMUSG00000014905,ENSMUSG00000006360,ENSMUSG00000002332,ENSMUSG00000010048,ENSMUSG00000005686,ENSMUSG00000009376,ENSMUSG00000005949,ENSMUSG00000001999,ENSMUSG00000003882,ENSMUSG00000003161,ENSMUSG00000005103,
ENSMUSG00000001707,ENSMUSG00000001741,ENSMUSG00000009185,ENSMUSG00000003660,ENSMUSG00000004565,ENSMUSG00000002012,ENSMUSG00000002076,ENSMUSG00000018569,ENSMUSG00000007476,ENSMUSG00000002728,ENSMUSG00000010529,ENSMUSG00000005774,ENSMUSG00000016529,ENSMUSG00000005982,ENSMUSG00000002475,ENSMUSG00000004633,ENSMUSG00000005873,ENSMUSG00000005142,
ENSMUSG00000001948,ENSMUSG00000001870,ENSMUSG00000009470,ENSMUSG00000003779,ENSMUSG00000004677,ENSMUSG00000002109,ENSMUSG00000002103,ENSMUSG00000018868,ENSMUSG00000007656,ENSMUSG00000003062,ENSMUSG00000011751,ENSMUSG00000006134,ENSMUSG00000017314,ENSMUSG00000006699,ENSMUSG00000002500,ENSMUSG00000005973,ENSMUSG00000006289,ENSMUSG00000005656,
