/home/ec2-user/genomics/results/bam/Lu01_Aligned.sortedByCoord.out.bam
## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=/home/ec2-user/genomics/results/PICARDref/refFlat.mouse.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=/home/ec2-user/genomics/results/bam/Lu01_Aligned.sortedByCoord.out.bam OUTPUT=/home/ec2-user/genomics/results/results_cleaning/temp.tsv ASSUME_SORTED=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 25 02:05:13 UTC 2020

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
1512209015	1508055215		882881173	445750666	94885428	84537948	0	0	0	8993019	9029778	324007	0.49898	0.50102		0.585444	0.29558	0.062919	0.056058	0.881023	0.878603	0	0.520314	0.386316	0.35099	0.954282			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.168985
1	0.257044
2	0.355611
3	0.447172
4	0.519346
5	0.572684
6	0.625319
7	0.683971
8	0.729373
9	0.764818
10	0.819988
11	0.860715
12	0.896313
13	0.938824
14	0.968746
15	0.995597
16	1.022086
17	1.052424
18	1.079158
19	1.104264
20	1.131256
21	1.163969
22	1.196465
23	1.210198
24	1.207337
25	1.219945
26	1.243305
27	1.27115
28	1.27385
29	1.280325
30	1.283664
31	1.288008
32	1.286511
33	1.30166
34	1.319427
35	1.320673
36	1.319419
37	1.332068
38	1.317463
39	1.334655
40	1.313681
41	1.317098
42	1.323627
43	1.328355
44	1.326547
45	1.314465
46	1.303386
47	1.310511
48	1.302456
49	1.298592
50	1.279825
51	1.27879
52	1.278835
53	1.263244
54	1.270845
55	1.249002
56	1.250966
57	1.251133
58	1.229972
59	1.207584
60	1.20762
61	1.196884
62	1.176305
63	1.16327
64	1.151639
65	1.153471
66	1.138
67	1.115999
68	1.092233
69	1.079571
70	1.071647
71	1.051698
72	1.024913
73	0.998284
74	0.973966
75	0.959309
76	0.933937
77	0.917658
78	0.90826
79	0.895447
80	0.881945
81	0.856292
82	0.839883
83	0.82807
84	0.819517
85	0.793869
86	0.776086
87	0.757414
88	0.739869
89	0.73828
90	0.72477
91	0.7132
92	0.686589
93	0.649412
94	0.593129
95	0.537272
96	0.466772
97	0.362269
98	0.223771
99	0.079562
100	0.026889

/home/ec2-user/genomics/results/bam/Lu02_Aligned.sortedByCoord.out.bam
## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=/home/ec2-user/genomics/results/PICARDref/refFlat.mouse.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=/home/ec2-user/genomics/results/bam/Lu02_Aligned.sortedByCoord.out.bam OUTPUT=/home/ec2-user/genomics/results/results_cleaning/temp.tsv ASSUME_SORTED=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
